[2026-03-30 14:11:40] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=tools uri=/tokencafe/index.php?page=tools
[2026-03-30 14:11:40] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 14:11:43] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=admin uri=/tokencafe/index.php?page=admin
[2026-03-30 14:11:44] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 14:11:56] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=admin uri=/tokencafe/index.php?page=admin&days=30
[2026-03-30 14:11:56] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 14:12:02] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs-resumo uri=/tokencafe/index.php?page=logs-resumo
[2026-03-30 14:12:03] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 14:12:03] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 14:12:10] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-30 14:12:10] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 14:12:47] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=admin uri=/tokencafe/index.php?page=admin&days=30
[2026-03-30 14:12:47] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 14:14:12] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs-resumo uri=/tokencafe/index.php?page=logs-resumo
[2026-03-30 14:14:13] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 14:14:13] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 14:14:47] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-30 14:14:48] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 14:37:00] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=tools uri=/tokencafe/index.php?page=tools
[2026-03-30 14:37:01] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 14:37:05] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=admin uri=/tokencafe/index.php?page=admin
