[2026-03-31 16:54:04] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 16:54:06] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=contrato uri=/tokencafe/index.php?page=contrato
[2026-03-31 16:54:06] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 16:54:07] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/api-status.php
[2026-03-31 16:54:07] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/network-search.php
[2026-03-31 16:54:07] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:54:07] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:54:07] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:54:07] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:54:59] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=contrato uri=/tokencafe/index.php?page=contrato
[2026-03-31 16:55:00] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 16:55:00] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/api-status.php
[2026-03-31 16:55:00] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/network-search.php
[2026-03-31 16:55:00] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:55:00] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:55:00] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:55:00] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:55:40] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=tools uri=/tokencafe/index.php?page=tools
[2026-03-31 16:55:41] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 16:55:43] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=contrato uri=/tokencafe/index.php?page=contrato
[2026-03-31 16:55:43] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 16:55:44] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/api-status.php
[2026-03-31 16:55:44] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/network-search.php
[2026-03-31 16:55:44] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:55:44] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:55:44] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:55:44] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:56:40] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=contrato-detalhes uri=/tokencafe/index.php?page=contrato-detalhes
[2026-03-31 16:56:41] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 16:56:41] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/contract-search.php
[2026-03-31 16:56:41] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/contract-actions.php
[2026-03-31 16:56:41] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:56:41] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/section-title.php
[2026-03-31 16:58:10] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=tools uri=/tokencafe/index.php?page=tools
[2026-03-31 16:58:10] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 16:58:13] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-31 16:58:14] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 17:14:10] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=tools uri=/tokencafe/index.php?page=tools
[2026-03-31 17:14:11] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 17:14:15] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-31 17:14:15] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 17:16:48] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-31 17:16:49] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 17:20:18] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-31 17:20:18] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 17:20:19] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/network-search.php
[2026-03-31 17:25:26] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-31 17:25:27] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 17:31:30] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-31 17:31:30] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 17:37:42] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-31 17:37:42] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 17:38:10] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs uri=/tokencafe/index.php?page=logs&start=2026-03-01&end=2026-03-31
[2026-03-31 17:38:11] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 17:38:11] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/shared/components/network-search.php
[2026-03-31 17:38:20] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs uri=/tokencafe/index.php?page=logs&start=2026-03-01&end=2026-03-31
[2026-03-31 17:38:20] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
